file_name,caption
0bebd7ad-271a-4fe5-b732-9e1948c76ea1.jpeg,Yellow Pakistani Truck with rustic and royal truck art
6060d9c4-d2d5-429e-a70e-36b2c08c7fb8.jpeg,Green and red truck with a mix of modern and traditional art
8222e0fb-dd96-4b8f-b034-d2c11d08d5db.jpg,Animated ugly low quality floral truck art
47380ea7-b0e5-48d7-99d8-638a88e92a8d.jpg,Animated low quality highly colourful truck art
61083a43-5f66-476c-8cb7-438e888cdc8d.jpg,Animated low quality front view blocky colourful and floral truck art
0948728f-4453-4d3d-b19d-4135c76ef5bd.jpg,Animated side view cartoonish colourful truck art
a46ff011-5ad7-4148-acd2-812d83f88296.jpg,Cartoonish bright   striking  and colourful truck art with a bulky truck
b0c98e35-e118-4022-a159-337cf40ee921.jpg,Animated old style traditional truck art yellow and cyan
ba64220b-32d2-45ea-ba3c-7c81f94a40db.jpeg,Realistic deep green huge truck with minimalstic art
May 8 2025 06_01_44 PM.png,Realistic and highly decorative art with detailed design  orange theme  front view
May 8 2025 06_01_57 PM.png,Aniamted and cartoonish  highly decorative art with detailed design  tiger and orange theme  front view
openart-image_3KxdXCH0_1746709579424_raw.jpg,Realistic truck green and yellow  modern and minimalistic art
openart-image_ZaS4Ly36_1746709578831_raw.jpg,Animated truck yellow  modern and minimalistic art with Pakistani flag
Screenshot 2025-05-08 180717.png,2 trucks both animated and modern art  royal design
Screenshot 2025-05-08 180746.png,Side view of bulky  blue and orange truck passing in a street of people watching
Screenshot 2025-05-08 180801.png,Back view of truck having nature-themed traditional art
