file_name,caption
ChatGPT-1.png,"A young boy viewed from behind stands at a ghibli-themed forest edge, soft sunlight falls through "
openart-1.jpg,"Two young boys stand on a ghibli-styled forest path surrounded by tall, thin trees, with sunlight streaming through, and big rocks around"
ChatGPT-2.png,"A ghibli young girl viewed from behind stands on a forest path, soft golden light filtering through green trees"
openart-image_zMJuYMAT_1747140409190_raw.jpg,"Two boys climb a giant tree ladder in a Ghibli-style forest, viewed from below, under soft daylight and a vibrant sky"
ChatGPT-3.png,"Lush green forest with tall trees and soft sunlight, Ghibli-style, viewed from a forest path."
ChatGPT-4.png,"Dark Ghibli-style forest scene at dusk, deep green trees with soft shadows and a faintly lit path"
openart-image_AmX-S3v__1747140736292_raw.jpg,"Ghibli-style village street under soft daylight, people strolling between wooden shops, with a massive tree and mountain in background"
ChatGPT-5.png,"Ghibli-theme village street with cobblestones, people and dogs walking between wooden shops, warm evening light "
ChatGPT-6.png,ghibli style green mountain scenery with green trees
ChatGPT-7.png,ghibli themed woman viewed from front with blue eyes and reddish-brown hair
openart-image_hyZBChAF_1747141179102_raw.jpg,ghibli girl running in long grass
ChatGPT-8.png,"ghibli theme girl with blue eyes, wearing a red bow on her hair"
ChatGPT-9.png,ghibli style boy smiling 
ChatGPT-10.png,ghibli man with bushy beard and moustache and wide eyes
openart-image_qG_-2rVr_1747141474056_raw.jpg,ghibli-themed birds of different colours
openart-image__EKWbifh_1747141591078_raw.jpg,white dove ghibli
ChatGPT-11.png,ghibli angry boy with angry expression
openart-image_DuSMj2oN_1747141671583_raw.jpg,ghibli theme white daisies
ChatGPT-12.png,ghibli white dandelions and a yellow flower in grass
openart-image_VI_MQwTe_1747141755333_raw.jpg,"ghibli style boy and girl having a picnic on a picnic cloth surrounded by trees and grass, river and bridge in the background"
ChatGPT-13.png,ghibli angry woman with angry expression
fanart_ghibli_studios_animation_by_avafleu_djborhq-pre.jpg,"Ghibli-style countryside cottage under a large tree, bright midday light, surrounded by flowers and green hills, peaceful."
ChatGPT-14.png,ghibli style boy and girl having a picnic sitting on a picnic cloth
ChatGPT-15.png,ghibli-style boy playing in the grass with his hands on the ground
ChatGPT-16.png,ghibli-themed castle on top of a hill surrounded by trees
dodge_a100_van_studio_ghibli_style__13__by_estudante1_djltz17-pre.jpg,"Ghibli-style blue and white van parked on a dirt road under a bright sky, viewed from front-left angle"
dodge_a100_van_studio_ghibli_style__14__by_estudante1_djp0q37-fullview.jpg,"Ghibli White van parked on a sunlit dirt path, viewed from the front, with a driver inside."
openart-image_3HrjtHW2_1747142382950_raw.jpg,"Girl standing on a snowy mountain, viewed from the side"
man_and_his_dog_pseudo_studio_ghibli_with_flux_by_promptkid_djpjjiq-414w-2x.png,"A ghibli-themed young man and his dog stand on a forest path under blooming pink trees, viewed from behind."
ChatGPT-17.png,"ghibli cute couple of a girl and boy inside a photobooth, boy has arm around girl, both looking at the front"
openart-image_oZzIMBpf_1747142628115_raw.jpg,"ghibli style cute young couple standing together, facing the front"
cat__ghibli_style__studio_ghibli_aesthetic___by_chrisjr2518_djqrvod-pre.jpg,"ghibli style white cat with yellow eyes surrounded by red flowers, facing the front"
ChatGPT-18.png,"ghibli couple, a man and woman standing next to each other, facing the front"
ChatGPT-19.png,"ghibli styled cute elderly couple smiling, viewed from the front"
ChatGPT-20.png,"two boys laughing and playing together, view from the front"
ChatGPT-21.png,"two young boys holding hands while playing together and laughing, view from the front"
ChatGPT-22.png,"two girls playing in the night in a dark forest scene, laughing together"
openart-image_7Yb0FelO_1747142902802_raw.jpg,"ghibli-style forest view, brightly sunlit forest sunlight, clouds and blue sky in background"
ChatGPT-23.png,"ghibli people sitting together on grass, at night under a starry sky"
cat__ghibli_style__studio_ghibli_aesthetic___by_chrisjr2518_djqrvol-pre.jpg,ghibli cat orange coloured looking towards the front view
ChatGPT-24.png,"ghibli people standing together, smiling"
openart-image_WzFf_M4b_1747143438163_raw.jpg,"ghibli starry night sky with a house on the side, bright yellow stars on the dark blue sky"
studio_ghibli__the_wind_rises_2_by_studioghiblicore_djawnjd-pre.jpg,"A vintage biplane airplane soars over lush green hills at sunset, viewed from behind, dreamy Ghibli-style sky filled with pastel clouds."
openart-image_gpwJ5AVd_1747143661355_raw.jpg,"A peaceful Ghibli-style town at the base of a green mountain, viewed from the front of a hillside path, during the day time."
openart-image_pZfEi9NJ_1747143728369_raw.jpg,"Ghibli-style village street at night, warmly lit houses lining a quiet path under a starry sky, with distant hills and a peaceful, cozy atmosphere."
revansyah_art_studio_ghibli_style_by_noname09897_djkhvpm-pre.jpg,"ghibli Boy taking a selfie with a peace sign in a warmly lit Ghibli-style living room, table set with snacks and drinks."
fanart____ghibli_studios_animation_by_avafleu_djaqyh0-pre.jpg,"Ghibli-style lakeside village beneath a lush green cliff, with calm water reflecting bright daylight."
fanart____ghibli_studios_animation_by_avafleu_djaqyjj-pre.jpg,"Stone path winds through a Ghibli-style alpine meadow filled with wildflowers, under clear blue skies, with distant snow-capped peaks and a peaceful valley village."
castle.jpg,"Towering Ghibli-style castle built into a lush green mountainside, smoke rising from chimneys, surrounded by fluffy clouds and bathed in bright daylight, whimsical and majestic mood."
openart-image_I2SRm5gY_1747144012878_raw.jpg,"Quiet Ghibli-style street at night, warmly lit traditional houses lining the path, with a distant city skyline and a towering mountain under a star-filled sky."
